decade,number,date,title
1920s,1,1922,A League of Their Own
1930s,1,1931,in Woman Uniform
1960s,3,1960,Coronation Street
,,1963,Doctor Who
,,1968,Sister George
1970s,5,1970,All My Children
,,1971,All in the Family
,,1972,Emmerdale
,,1973,Home Movie
,,1978,Greta's Girls
1980s,14,1981,Hill Street Blues
,,1981,Jacqueline Susann's Valley of the Dolls
,,1982,Brookside
,,1982,Personal Best
,,1983,Lianna
,,1983,Silkwood
,,1985,Desert Hearts
,,1985,EastEnders
,,1985,Neighbours
,,1985,The Golden Girls
,,1986,L.A. Law
,,1987,The Bold and the Beautiful
,,1988,Roseanne
,,1988,"You Rang, M'Lord?"
1990s,33,1990,90210
,,1990,Drop the Dead Donkey
,,1990,Law & Order
,,1992,HeartBeat
,,1992,Shortland Street
,,1993,Even Cowgirls get the Blues
,,1993,Star Trek: Deep Space Nine
,,1994,Bra Girls
,,1994,Ellen
,,1994,ER
,,1994,Friends
,,1994,Go Fish
,,1994,Heavenly Creatures
,,1994,Party of Five
,,1995,Hollyoaks
,,1995,"The Incredible Story of
2 Girls in Love"
,,1995,Xena: Warrior Princess
,,1996,oundB
,,1996,Tracey Takes On…
,,1997,Ally Mcbeal
,,1997,Buffy the Vampire Slayer
,,1997,Family Affairs
,,1998,Charmed
,,1998,Fucking Amal
,,1998,Gia
,,1998,High Art
,,1998,Home and Away
,,1998,Sex and the city
,,1999,Aimee and Jaguar
,,1999,Bad Girls
,,1999,But I'm a Cheerleader
,,1999,Once and Again
,,1999,Passions
2000s,63,2000,At Home with the Braithwaites
,,2000,Doctors
,,2000,Hospital Central
,,2000,"If These Walls Could
Talk 2"
,,2001,Kissing Jessica Stein
,,2001,Lost and Delirious
,,2001,Queer as Folk
,,2002,Degrassi: The Next Generation
,,2002,Fast Lane
,,2002,The Wire
,,2003,Little Britain
,,2003,Monster
,,2003,NCIS
,,2003,Nip/Tuck
,,2003,The Ellen Show
,,2003,The OC
,,2004,Deadwood
,,2004,Hex
,,2004,My summer of Love
,,2004,The L Word 
,,2005,Battlestar Galactica
,,2005,Bones
,,2005,Grey's Anatomy
,,2005,Los hombres de Paco
,,2005,Out of Practice
,,2005,South of Nowhere
,,2005,Supernatural
,,2005,Weeds
,,2005,Imagine Me & You
,,2006,Billions
,,2006,Exes & Ohs
,,2006,Les Filles de Botaniste
,,2006,Waterloo Road
,,2007,Apples
,,2007,Army Wives
,,2007,Girltrash
,,2007,Kick
,,2007,Love My Life
,,2007,Skins
,,2007,Spider Lilies
,,2007,The Secrets
,,2008,Anyone but Me
,,2008,Chica Busca Chica
,,2008,Feed
,,2008,I Can't think Straight
,,2008,Murdoch Mysteries
,,2008,Time Travelling
,,2008,True Blood
,,2008,way
,,2009,3%
,,2009,Being Erica
,,2009,Far Out
,,2009,FlashForward
,,2009,Glee
,,2009,Hawthorne
,,2009,J.B. Fletcher
,,2009,Lip Service
,,2009,Seeking Simone
,,2009,Stargate Universe
,,2009,The Good Wife
,,2009,The Vampire Diaries
,,2009,Venice
,,2009,White Collar
2010s,247,2010,Blue Mountain State
,,2010,Boardwalk Empire
,,2010,Girl Girl Scene
,,2010,Las Aparicio
,,2010,Lost Girl
,,2010,Lovers and Friends
,,2010,Luther
,,2010,Out with Dad
,,2010,Pretty Little Liars
,,2010,Rookie Blue
,,2010,Sherlock
,,2010,So Hard to Forget
,,2010,TH3M
,,2010,The Bill
,,2010,The Kids are All Right
,,2010,The Secret Diaries of Miss Anne Lister
,,2010,The Walking Dead
,,2010,"Upstairs, Downstairs"
,,2010,We have to Stop Now
,,2011,American Horror Story
